,themes_map
128,"['复仇与救赎', '信任和背叛', '女性力量与平等', '爱情与选择', '正义与邪恶']"
129,"['人类与机器人的关系', '勇气与冒险', '忠诚与团队合作', '选择与责任', '技术与未来', '生死与和平']"
130,"['技术与未来', '忠诚与团队合作', '人工智能', '勇敢面对', '自我接受']"
131,"['人类潜能', '信任和背叛', '忠诚与团队合作', '宿命与选择', '时空错位']"
132,"['犯罪与黑帮', '面对困境与挑战', '警察与侦探', '正义与邪恶', '信任和背叛']"
133,"['信任和背叛', '职业道德', '黑暗世界', '勇敢面对', '正义与邪恶']"
134,"['自我发现', '家庭团圆', '友情', '文化传承']"
135,"['牺牲奉献', '勇气与冒险', '忠诚与承诺', '面对困境与挑战', '正义与邪恶', '生死抉择与奋斗']"
136,"['忠诚与团结', '勇气与冒险', '忠诚与团队合作', '正义与邪恶']"
137,"['忠诚与团队合作', '犯罪与黑帮', '黑帮与善恶较量', '竞争与合作', '勇气与冒险']"
138,"['友情', '忠诚', '自信', '探险精神', '动物与人类和谐共处', '勇敢面对']"
139,"['友情', '勇气与冒险', '自我发现', '奇幻世界', '忠诚与团队合作', '法术与传说']"
140,"['忠诚与团队合作', '友情', '信任和背叛', '职业道德', '悬疑与谜题', '跨国重逢']"
141,"['信任和背叛', '政治与权力', '身份追寻', '忠诚与团队合作', '生死抉择与奋斗']"
142,"['复仇与救赎', '信任和背叛', '职业道德', '黑暗世界', '勇敢面对', '道义与背叛']"
143,"['友情', '自我发现', '黑帮与善恶较量', '忠诚与团队合作', '逆袭与改变', '阳光与正能量']"
144,"['探险与冒险', '阴谋与权谋', '勇气与决断', '宝物争夺', '忠诚与背叛', '恐怖与神秘']"
145,"['探险精神', '家庭秘密', '勇气与冒险', '友情与信任', '超自然现象']"
146,"['选择与责任', '人类潜能', '忠诚与团队合作', '青春与成长', '勇气与冒险']"
147,"['人类与机器人的关系', '生存挑战', '忠诚与团队合作', '技术与未来', '人与自然', '生死与和平']"
148,"['友情与成长', '勇气与冒险', '法术与传说', '正义与邪恶', '家庭秘密', '忠诚与团队合作']"
149,"['友情与团结', '希望与坚持', '爱与牺牲', '爱国情怀', '生死与和平', '正义与抗争']"
150,"['生存挑战', '忠诚与团队合作', '真相与谎言', '勇气与冒险', '技术与未来', '人与自然的关系']"
151,"['自我发现', '友谊', '自信', '勇敢面对', '环保意识', '忠诚与团队合作']"
152,"['友情', '自我发现', '忠诚与团队合作', '勇敢面对', '黑帮与善恶较量', '家庭团圆']"
153,"['牺牲奉献', '勇气与冒险', '忠诚与承诺', '生死与和平', '团结与支持', '坚定信念']"
154,"['忠诚与承诺', '勇气与冒险', '复仇与救赎', '信任和背叛', '生死抉择与奋斗', '生死与和平']"
155,"['阴阳冲突', '神秘与恐怖', '阴阳先生', '黑帮与善恶较量', '道义与背叛', '人妖之间']"
156,"['竞争与合作', '自我发现', '误入江湖', '探险精神', '自我接受', '勇敢面对']"
157,"['正义与邪恶', '忠诚与团队合作', '勇气与冒险', '黑帮与善恶较量', '动物与人类和谐共处', '儿童与成长']"
158,"['忠诚与团队合作', '勇气与冒险', '探险与冒险', '生存挑战', '神秘与恐怖', '真相与谎言']"
159,"['友情与成长', '家庭团圆', '忠诚与承诺', '探险精神', '真相与谎言', '勇气与冒险']"
160,"['江湖武侠', '面对困境与挑战', '忍耐与智慧', '忠诚与承诺', '勇敢面对']"
161,"['忠诚与团队合作', '牺牲奉献', '勇气与决心', '生死抉择与奋斗', '选择与责任', '敌友关系']"
162,"['正义与邪恶', '信任和背叛', '勇气与决断', '职业道德', '敌友关系', '生死抉择与奋斗']"
163,"['忠诚与承诺', '阴谋与权谋', '江湖武侠']"
164,"['牺牲奉献', '勇气与冒险', '忠诚与团结', '生死抉择与奋斗', '生死与和平', '国家荣誉与使命']"
165,"['忠诚与团队合作', '勇气与冒险', '自我成长与挑战', '职业道德', '航空事业', '家国荣誉']"
166,"['家庭破裂与重建', '正义与犯罪', '忠诚与背叛', '个人成长与自我救赎', '暴力与救赎', '勇气与决断']"
167,"['灵异现象', '阴阳冲突', '人妖之间', '诅咒与解除', '神秘与恐怖', '战胜恶势力']"
168,"['生存挑战', '人与自然', '战斗与生存', '人与自然的关系', '勇气与决断', '生死抉择与奋斗']"
169,"['民族抗战与团结', '爱与牺牲', '军事战略', '历史事件', '团队协作', '国家荣誉与使命']"
170,"['忠诚与团队合作', '勇气与决断', '乐观向上', '运动精神', '自我发现', '竞争与合作']"
171,"['正义与邪恶', '勇气与决断', '警察与侦探', '犯罪与黑帮', '黑帮与善恶较量', '忠诚与团队合作']"
172,"['真实事件改编', '民族抗战与团结', '爱与牺牲', '军事战略', '历史事件', '面对困境与挑战']"
173,"['正义与罪恶', '职业道德', '敌我难辨', '真相与谎言', '生死抉择与奋斗']"
174,"['自我发现', '勇气与决断', '选择与责任', '忠诚与团队合作', '勇敢面对']"
175,"['生存挑战', '技术与未来', '家庭团圆', '人与自然的关系', '爱与牺牲', '时空错位']"
176,"['生存挑战', '勇气与决断', '技术与未来', '坚定信念']"
177,"['信任和背叛', '生死抉择与奋斗', '职业道德', '勇敢面对', '面对困境与挑战', '黑帮与善恶较量']"
178,"['黑帮与善恶较量', '爱情与友谊', '自我发现', '勇敢面对', '忍耐与智慧', '敌友关系']"
179,"['忠诚与团队合作', '勇敢面对', '诚实与信任', '儿童与成长', '友情与成长', '自我发现与成长']"
180,"['自信', '忠诚与团队合作', '动物与人类和谐共处', '探险精神', '勇气与决断', '乐观向上']"
181,"['生存挑战', '探险精神', '忠诚与团队合作', '人与自然', '勇气与决断', '时空错位']"
182,"['友情与合作', '勇气与决断', '智慧与谜题', '警察与侦探', '忍耐与智慧', '真相与谎言']"
183,"['女性力量与平等', '勇气与决断', '自我发现', '信任和背叛', '战斗与生存']"
184,"['爱与牺牲', '民族抗战与团结', '忠诚与承诺', '团结与支持', '正义与邪恶', '生死抉择与奋斗']"
185,"['技术与未来', '自我成长与发现', '人性与道德', '团队合作', '勇气与决断', '生存挑战']"
186,"['探险精神', '勇气与决断', '神秘与恐怖', '战斗与成长', '历史传说', '敌友关系']"
187,"['逆境成长', '勇敢面对', '自我发现', '喜剧式励志', '梦境与现实', '坚定信念']"
188,"['自我发现', '友谊', '梦境与现实', '忠诚与团队合作', '乐观向上', '音乐文化']"
189,"['生死抉择与奋斗', '勇气与决断', '恐怖与挑战', '战斗与生存']"
190,"['爱情', '友情', '自我发现', '感情纠葛', '人际关系', '青春与成长']"
191,"['灵异现象', '阴阳冲突', '真相与谎言', '恐怖与挑战']"
192,"['生死抉择与奋斗', '忠诚与团队合作', '勇气与决断', '恐怖与挑战', '生存挑战']"
193,"['自我发现', '友情', '自然与环境保护', '家庭团圆', '敌对与和解', '勇气与冒险']"
194,"['忠诚与团队合作', '勇气与决断', '信任和背叛', '正义与邪恶', '敌友关系', '战斗与生存']"
195,"['忠诚与团队合作', '探险精神', '勇敢面对', '黑帮与善恶较量', '竞争与合作']"
196,"['自我发现', '神秘与恐怖', '人与自然的关系', '奇幻世界', '探险精神', '友谊']"
197,"['正义与邪恶', '职业道德', '忠诚与团队合作', '勇气与决断', '犯罪与黑帮', '警察与侦探']"
198,"['逆境成长', '家庭团圆', '面对困境与挑战', '喜剧式励志', '财富与价值观']"
199,"['神秘与恐怖', '探险与冒险', '历史与文明', '生死抉择与奋斗', '勇气与决断', '忠诚与团队合作']"
200,"['勇气与冒险', '神秘与恐怖', '忠诚与团队合作', '调查与解谜', '民间传说与传统文化']"
201,"['人工智能', '人机合作', '技术与未来', '身份追寻', '勇敢面对', '逆境成长']"
202,"['信任和背叛', '爱情与选择', '魔法与传说', '感情纠葛', '文化传承', '勇敢面对']"
203,"['感情纠葛', '信任和背叛', '自我发现', '友情', '回忆与挽回', '逆境成长']"
204,"['青春与成长', '爱情与选择', '自我成长', '执着与放手', '成长痛苦', '时间与回忆']"
205,"['友情与竞争', '适应与融入', '敌对与和解']"
206,"['友情与成长', '忠诚与团结', '自我接受', '信任与诚实', '探险与冒险']"
207,"['探险与冒险', '神秘与恐怖', '勇气与决断', '真相与谎言', '忠诚与团队合作', '民间传说与传统文化']"
208,"['自然与生存', '亲情疏远与和解', '领导与责任', '自我发现', '信任和背叛', '勇气与决断']"
209,['生死抉择与奋斗']
210,"['正义与罪恶', '道义与背叛', '职业道德', '勇气与决断', '战斗与生存', '敌友关系']"
211,"['人工智能', '人机合作', '虚拟现实', '信任和背叛', '爱与自由', '忠诚与团队合作']"
212,"['技术与未来', '人类潜能', '选择与责任', '自我成长']"
213,"['人与自然的关系', '政治与权力', '宿命与选择', '家庭秘密', '生存挑战', '忠诚与团队合作']"
214,"['友情与竞争', '探案与智慧', '警察与侦探', '民间传说与传统文化', '逆境成长', '敌友关系']"
215,"['友情与成长', '自我发现', '勇气与决断', '传统与创新', '父女关系', '战胜恶势力']"
216,"['友情与成长', '自我成长', '非亲生家庭关系', '父女关系', '战斗与成长', '勇气与冒险']"
217,"['魔法与传说', '文化传承', '忠诚与承诺', '勇气与决断', '自我成长与发现', '信任和背叛']"
218,"['职业道德', '信任和背叛', '勇气与决断', '正义与邪恶', '军事战略', '敌我难辨']"
219,"['汽车文化', '信任和背叛', '职业道德', '敌友关系']"
220,"['人性与欲望', '爱情与选择', '身份追寻', '邪恶与正义', '勇敢面对', '宿命与选择']"
221,"['人与自然', '战斗与生存', '技术与未来', '忠诚与团队合作', '勇气与决断', '生存挑战']"
222,"['自我发现', '人与自然的关系', '友谊', '爱与牺牲', '奇幻世界']"
223,"['信任和背叛', '职业道德', '国家荣誉与使命', '敌友关系', '勇气与决断', '正义与邪恶']"
224,"['国家荣誉与使命', '勇气与决断', '间谍活动', '反恐任务', '信任和背叛', '危机应对']"
225,"['亲子关系', '自我发现', '民间传说与传统文化', '友谊', '勇敢面对', '教育']"
226,"['人类与外星生物交流', '语言与交流', '时间观念', '生命与死亡', '友情与成长', '面对困境与挑战']"
227,"['黑帮与道义', '友情与信任', '勇气与决断', '正义与邪恶']"
228,"['信任和背叛', '勇气与决断', '忠诚与团队合作', '身份追寻', '间谍活动', '反恐任务']"
229,"['反恐任务', '女性力量与平等', '正义与邪恶', '勇气与决断', '忠诚与团队合作', '复仇与救赎']"
230,"['忠诚与团队合作', '人类潜能', '选择与责任', '勇气与决断', '友谊', '牺牲奉献']"
231,"['青春与成长', '忠诚与承诺', '勇气和决断', '生死抉择与奋斗', '忠诚与团队合作']"
232,"['正义与邪恶', '复仇与救赎', '职业道德', '黑暗世界', '勇气与决断', '忠诚与团队合作']"
233,"['面对困境与挑战', '勇气与决断', '忠诚与团队合作', '军事行动', '人类潜能', '正义与邪恶']"
234,"['牺牲奉献', '爱情与选择', '信任和背叛', '勇气与决心', '自我发现', '宽容和包容']"
235,"['友情与成长', '接受和包容', '父子/父女关系', '友情']"
236,"['面对困境与挑战', '警察与侦探', '正义与邪恶', '犯罪与黑帮', '勇气与决心']"
237,"['职业道德', '自我发现', '勇敢面对']"
238,"['武术传承', '民族荣誉', '师徒关系', '勇气与决心', '传统与创新', '正义与邪恶']"
239,"['自由与救赎', '友情与信任', '希望与坚持']"
240,"['自我发现', '选择与责任', '人性与道德', '英雄与救赎', '爱情与牺牲', '友情与信任']"
241,"['神秘与恐怖', '阴阳冲突', '谜团解开', '民间信仰', '奇门遁甲', '探险与冒险']"
242,['生存挑战']
243,"['生存挑战', '生死抉择与奋斗', '恐怖与挑战']"
244,"['自我发现', '友情与信任', '勇敢面对', '爱情与友谊', '奇幻世界', '儿童与成长']"
245,"['友情与信任', '忠诚与团队合作', '勇敢面对', '儿童与成长', '探险精神', '环保意识']"
246,"['友情', '儿童与成长', '忠诚与承诺', '技术与未来', '自我成长', '勇气与冒险']"
247,"['忠诚与背叛', '师徒关系', '武术传承', '黑帮与善恶较量', '正义与邪恶', '江湖武侠']"
248,"['友情与信任', '忠诚与团队合作', '探险精神', '勇敢面对']"
249,"['家庭矛盾与和解', '正义与法律', '个人成长与自我救赎', '父爱', '人性的挣扎', '法律与正义']"
250,"['忠诚与团队合作', '牺牲奉献', '勇气与决心', '真实事件改编', '军事行动', '民族荣誉']"
251,"['记忆与现实', '时间错乱', '失忆', '真相与谎言']"
252,"['传统与创新', '自我发现', '勇气与决心', '爱情与友谊', '民间传说与传统文化', '适应与融入']"
253,"['友情与成长', '勇气与决心', '家庭团圆', '奇幻世界', '探险精神']"
254,"['友谊', '勇气', '魔法世界', '成长', '信任', '探险精神']"
255,"['人与自然的关系', '生存挑战', '勇气与冒险', '忠诚与团队合作', '神秘与恐怖', '探险与冒险']"
256,"['友谊', '青春与成长', '面对困境与挑战', '教育', '自我发现']"
257,"['自我发现', '友谊', '勇气与决心', '黑帮与善恶较量', '探险精神', '忠诚与团队合作']"
258,['生存挑战']
259,"['技术与未来', '女性力量与平等', '团结与支持', '政治与权力']"
260,"['忠诚与团队合作', '反恐任务', '勇气与决心', '忠诚与承诺', '军事行动', '职业道德']"
261,"['女性力量与平等', '复仇与救赎', '友谊', '自我发现', '忠诚与承诺', '真相与谎言']"
262,"['汽车文化', '自我发现', '爱情与友谊', '励志', '乐观向上', '忠诚与团队合作']"
263,"['友谊', '自我发现', '人类与机器人的关系', '勇气与决心', '探险精神', '爱心与关怀']"
264,"['公益与救助', '家庭团圆', '自我成长与挑战', '希望与坚持', '传递爱心', '社会责任与关爱']"
265,['面对困境与挑战']
266,"['家庭团圆', '友情与信任', '重拾信任', '个人成长与自我救赎', '忠诚与团队合作']"
267,"['正义与罪恶', '友情与团结', '信念与勇气', '忠诚与承诺', '法术与传说', '自我发现']"
268,"['人类与魔法生物的冲突', '正义与罪恶', '信任和背叛']"
269,"['职业道德', '家庭团圆', '自我发现', '正义与法律', '忠诚与承诺', '勇气与决心']"
270,"['青春与成长', '友谊', '教育', '成长', '自我发现', '校园生活']"
271,"['人与自然的关系', '生存挑战', '选择与责任', '勇气与决心', '人类与魔法生物的冲突', '正义与罪恶']"
272,"['父子/父女关系', '自我成长与发现', '勇气与冒险', '友情与成长', '面对困境与挑战']"
273,"['忠诚与团结', '江湖武侠', '传统与创新', '师徒关系', '武术传承', '勇气与决心']"
274,"['家庭团圆', '友谊', '自我发现', '乐观向上', '爱情', '民间传说与传统文化']"
275,"['探险精神', '古墓探险', '历史与文明', '文化传承', '友情与信任', '勇气与决心']"
276,"['友情与信任', '自我发现', '勇气与决心', '音乐与舞蹈', '梦想与努力', '奇幻世界']"
277,"['爱国主义', '坚定信念', '爱国情怀', '人类与生化危机的抗争', '勇敢抵抗', '爱国与敌人斗争']"
278,"['面对困境与挑战', '信任和背叛', '勇气与决心', '正义与法律', '警察与侦探']"
279,"['武侠精神', '师徒关系', '正义与罪恶', '勇气与决心', '创新与反传统', '友情与信任']"
280,"['种族歧视与平等', '敌对与和解', '人性的挣扎', '信任和背叛', '社会责任与关爱', '正义与法律']"
281,"['正义与邪恶', '勇气与决心', '民族荣誉', '忠诚与团队合作', '生死与和平']"
282,"['英勇无畏', '牺牲奉献', '忠诚与承诺', '爱国主义', '生死与和平', '团结与信念']"
283,"['友情与成长', '友情与成长', '勇气与决心', '忠诚与团队合作', '接受和包容']"
284,"['正义与罪恶', '忠诚与承诺', '勇气与决心', '友情与信任', '人性的挣扎', '警察与侦探']"
285,"['守护与捍卫', '勇敢面对', '友情与信任', '人与自然']"
286,"['友情与信任', '爱情与选择']"
287,"['忠诚与团队合作', '勇气与决心', '国家荣誉与使命', '背叛与报复', '军事行动', '爱国主义']"
288,"['正义与邪恶', '忠诚与团结', '勇气与决心', '信任与诚实', '敌友关系', '法律与正义']"
289,"['环保意识', '人与自然的关系', '技术与未来', '民间传说与传统文化', '勇气与决心', '忠诚与团队合作']"
